WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
Herr,4152,3,TRUE,4,8.33134542484572,German
selbst,4142,6,TRUE,6,8.32893404195553,German
duerfen,3987,6,TRUE,7,8.29079434738136,German
halten,3971,6,TRUE,6,8.28677323113125,German
solch,3952,4,TRUE,5,8.28197705886776,German
welcher,3826,6,TRUE,7,8.2495751500002,German
Seite,3820,5,TRUE,5,8.24800570160062,German
wenig,3773,5,TRUE,5,8.23562571996431,German
drei,3770,4,TRUE,4,8.23483028044206,German
bringen,3766,6,TRUE,7,8.2337687092171,German
nichts,3652,4,TRUE,6,8.20303024171486,German
sprechen,3598,7,TRUE,8,8.18813341451048,German
wo,3578,2,TRUE,2,8.18255926406867,German
ob,3565,2,TRUE,2,8.1789193328484,German
Deutschland,3554,9,FALSE,11,8.1758290087146,German
Leben,3533,5,TRUE,5,8.16990264735914,German
politisch,3518,7,FALSE,9,8.1656479252975,German
seit,3496,4,TRUE,4,8.15937473677543,German
etwa,3487,4,TRUE,4,8.15679704667565,German
mein,3463,4,TRUE,4,8.14989054440242,German
Volk,3460,4,TRUE,4,8.14902386805177,German
tun,3421,3,TRUE,3,8.13768818497761,German
klein,3420,5,TRUE,5,8.13739583005665,German
erst,3416,4,TRUE,4,8.13622555490846,German
alle,3269,3,TRUE,4,8.09223940672421,German
lang,3250,3,TRUE,4,8.08641027532378,German
Arbeit,3192,6,TRUE,6,8.0684029585697,German
moegen,3176,5,TRUE,6,8.06337782236703,German
zeigen,3142,6,TRUE,6,8.05261481881557,German
Regierung,3093,7,FALSE,9,8.03689677268507,German
Hamburg,3091,7,FALSE,7,8.03624994213212,German
dabei,3073,5,FALSE,5,8.03040956213048,German
heissen,3061,6,TRUE,7,8.02649693894541,German
meinen,2991,6,TRUE,6,8.00336305862995,German
Staat,2962,4,TRUE,5,7.99361999482774,German
dazu,2960,4,FALSE,4,7.99294454731811,German
suchen,2892,5,TRUE,6,7.96970358327866,German
fahren,2884,5,TRUE,6,7.96693349840484,German
stark,2883,5,TRUE,5,7.9665866976384,German
eigen,2872,5,TRUE,5,7.96276393016811,German
Hand,2830,4,TRUE,4,7.94803199063728,German
glauben,2804,7,TRUE,7,7.93880224815448,German
vielleicht,2772,7,TRUE,10,7.92732436030979,German
bereits,2765,6,FALSE,7,7.92479591395644,German
Teil,2765,4,TRUE,4,7.92479591395644,German
Wort,2745,4,TRUE,4,7.91753635394363,German
Bonn,2738,3,FALSE,4,7.91498300584839,German
jedoch,2732,5,TRUE,6,7.91278922069068,German
amerikanisch,2726,10,FALSE,12,7.91059061225648,German
heuen,2706,5,TRUE,5,7.90322680873073,German
Partei,2686,6,TRUE,6,7.89580837708318,German
dort,2650,4,TRUE,4,7.88231491898027,German
heute,2636,5,TRUE,5,7.8770178956224,German
Grund,2624,5,TRUE,5,7.87245515006398,German
zweite,2586,6,FALSE,6,7.8578675593318,German
gleich,2579,5,TRUE,6,7.85515700588134,German
Weg,2552,3,TRUE,3,7.84463264446468,German
fuehren,2518,5,TRUE,7,7.83122021460429,German
moeglich,2503,6,FALSE,8,7.82524529143177,German
Kind,2503,4,TRUE,4,7.82524529143177,German
wer,2497,3,TRUE,3,7.82284529027977,German
fragen,2461,6,TRUE,6,7.80832305039106,German
Stadt,2446,4,TRUE,5,7.80220931624712,German
bisher,2423,6,FALSE,6,7.79276172081653,German
zwar,2413,4,TRUE,4,7.78862606562503,German
beginnen,2388,7,TRUE,8,7.77821147451249,German
darauf,2381,6,FALSE,6,7.77527584648686,German
meine,2363,5,TRUE,5,7.76768727718691,German
bitten,2356,5,TRUE,6,7.76472054477148,German
Million,2341,6,FALSE,7,7.75833346749091,German
natuerlich,2289,8,FALSE,10,7.73587031995257,German
Entwicklung,2286,9,FALSE,11,7.73455884435476,German
je,2284,2,TRUE,2,7.7336835707759,German
nahe,2279,3,TRUE,4,7.73149202924568,German
hoeren,2278,5,TRUE,6,7.73105314400713,German
waehrend,2274,6,TRUE,8,7.72929567431048,German
kurz,2269,4,TRUE,4,7.72709448477984,German
wichtig,2259,6,FALSE,7,7.722677516468,German
Fall,2256,3,TRUE,4,7.72134861261795,German
Woche,2250,4,TRUE,5,7.71868549519847,German
vier,2250,3,TRUE,4,7.71868549519847,German
Ende,2243,4,TRUE,4,7.71556953452021,German
sowie,2239,4,FALSE,5,7.71378461659875,German
jung,2236,3,TRUE,4,7.71244383427499,German
eben,2228,4,TRUE,4,7.70885960104718,German
setzen,2208,5,TRUE,6,7.69984240739699,German
jener,2204,5,TRUE,5,7.6980291702728,German
